ARG	100	6588168205.27505	707801342.801957	4.21636063230176	2.32155688955589	3074.70207056563	1.96826453938701	29.6079396562957	4.16672699106716	87.7224074796892	13000	1220	98.3140640099954	31.5762041956827	9.78139972686768	356100
AUS	100	12158785322.8598	290816678.957839	15.7558761009156	44.189788850438	10071.3989785006	7.50088615344955	7.40582605613379	0	93.386835655426	33710	3580	27.1055138379226	14.9067122095833	9.3169002532959	593500
AUT	100	1982163851.75473	219098215.266017	7.25338378134494	18.4148588482013	8355.84195182134	14.4994806543755	66.5573876915087	0	64.8131564661468	600	580	93.7856719726694	81.0568683458842	35.790901184082	74350
BEL	100	3148534562.50525	288744475.60262	8.04349554115034	13.0923613575865	7709.12307788247	16.6722609157786	0.408380185169646	47.1357444547006	72.6525048356486	990	640	94.4891524267585	17.0806411009482	9.12479972839355	106460
BOL	90.038729	684126028.396204	140497316.523363	1.88389931104579	0	742.538399742886	2.29583095374072	25.7110222729869	0	84.1532899868775	3170	190	100	28.0068532267276	10.7698001861572	51870
BRA	99.650247	17953989267.9483	4192372919.24726	2.49936201612059	14.5361622400253	2619.96049944708	9.85708988895304	63.2249839583781	2.60356792759176	59.1075326389753	17740	10310	77.1164730889402	73.0820738473312	41.8292007446289	1105900
CAN	100	18192396823.2985	601582262.778371	15.8541384273439	13.3474805546162	15588.4871464315	5.57037555986683	57.2546166558885	16.1190749922158	73.1928743182183	55770	6410	2.02339152072758	62.8249922157553	22.4167995452881	712310
CHL	100	2661847503.34316	335802794.00262	4.30148844789357	31.9416389579788	3879.67342023065	10.1305089008747	32.2765000139731	0	73.2505438289352	3400	870	99.1504517547802	42.4070089148478	26.9461002349854	98660
CHN	100	346336827553.188	47492877387.2741	7.25291914357129	75.1004671478554	3927.04449998901	4.05665980378573	18.5524939791678	2.33928636039921	87.6704307681854	723020	47100	99.9999584481301	22.6091537829535	12.0614004135132	11865310
COL	97.790938	2916913971.72248	626578716.532275	1.69946558599221	18.3212177399148	1312.1994929878	3.13217612072285	70.9061345580579	0	76.685692626894	16990	530	97.4810442275854	74.0383106787808	32.3832015991211	175230
DNK	100	1115406776.81697	175579254.863158	6.33652138088678	25.5438954138702	5858.80153628748	55.8538404175988	0.046607009694258	0	67.7045581238811	380	390	82.8343073187766	55.9004474272931	30.2283992767334	48690
ECU	98.976067	1553104291.73785	306785804.88826	2.58277544547861	0	1376.39363303224	2.03645040523306	47.138684329617	0	86.8846603647343	660	210	99.6352008949127	49.17513473485	12.1782999038696	67820
SLV	95.125416	211506495.792044	71244527.5591479	1.04684196848227	0	937.074472242326	32.0906315282018	27.6072633777921	0	48.4295873408768	550	110	100	59.6978949059939	23.9479999542236	12260
ETH	27.2	417276250.767488	490491003.784443	0.125695422925035	8.71395782643958	69.1987454026874	5.24435102469785	94.724119810825	0	6.56980662963724	28040	6070	100	99.9684708355229	91.2491989135742	155660
FIN	100	1589383702.33461	39704335.4056323	8.45187193583022	37.2975844887348	15249.9893802302	18.90621787529	19.6742737979851	34.6286016389109	42.1825267911597	290	550	0	38.5804916732752	41.2490997314453	57000
FRA	100	10602032963.5499	1339667573.23301	4.59237682939366	11.3418950513907	6939.94352490927	5.19396949616148	11.2619354468656	78.2355882895947	46.2259230612383	2880	3710	87.8452497212201	16.4559049430271	13.3534002304077	424130
DEU	100	24241186444.4971	2796947502.05053	9.10678232951564	41.8158030617364	7035.48297471676	22.9807472770598	3.14934929205162	15.6171515488682	79.7105269369918	11950	5400	95.7252958815951	26.1300965691114	14.0247001647949	843660
GRC	100	2272399136.52887	290904915.941617	6.38517838058472	37.9775715312725	5062.60642155232	15.2970621536261	8.89100768726536	0	86.0493171783821	1400	470	99.9999999999893	24.1880698408915	16.4074001312256	89910
HND	88.653773	319974529.515035	142929951.98973	1.05632477810759	6.00829809725159	619.837087026981	11.458074147798	32.3712366260264	0	52.4793125284907	1060	250	99.9999999999872	43.8293107738243	53.6277008056641	21120
IND	83.5852127075195	75134289147.84	26784816142.8024	1.6493275187685	69.625585225119	804.5163492833	5.1736825587741	11.0801572565746	2.79063943071017	73.5769790878008	100790	15120	100	16.2538398153488	36.0537986755371	3048790
ISR	100	2116052152.76661	295995223.079903	7.87638302274913	38.4493818575182	6600.8982801222	1.49310180389062	0.0213770082054824	0	91.7496360579347	2870	170	100	1.5144788120961	3.70029997825623	87150
ITA	100	11553946930.4234	1454805335.81198	5.38731095718742	15.1521707533054	5002.40667987736	22.3410375526759	21.0505688273958	0	78.5864226219386	8370	4510	96.583070041503	43.3916063800716	17.1315994262695	405240
JPN	100	40606162208.1782	3834732392.9397	9.58405355290864	36.670901854372	7819.71463590936	6.30046963498235	7.75888972257293	0	94.4074689015954	2260	7940	87.8196294240481	14.0593593575553	5.71990013122559	1300990
KEN	36	485823263.671691	716405854.447616	0.321841107580519	8.29527611443779	164.325260117957	45.7334197450853	35.7528623892849	0	17.3795726114892	10170	1310	100	81.4862821343703	74.9412002563477	71370
MYS	99.9883575439453	8166199166.87871	570183044.083774	7.75715861387129	24.9969488087017	4651.95141356202	0.629284798839078	9.0785181970448	0	96.6281988978081	21910	290	92.0061005865964	9.70780299588388	3.02999997138977	296240
MEX	99.172928	16203075808.9091	2684973455.01594	3.80806346471111	10.6876824053063	2157.32378751727	4.64351102502189	12.9000053068697	3.20966115636692	90.2784899713522	40840	3390	99.7621770966074	17.5435163318916	9.75899982452393	645940
