Time,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Adjusted savings: carbon dioxide damage (current US$) [NY.ADJ.DCO2.CD],Adjusted savings: particulate emission damage (current US$) [NY.ADJ.DPEM.CD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],CO2 emissions from solid fuel consumption (% of total) [EN.ATM.CO2E.SF.ZS],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],"Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]",Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Methane emissions in energy sector (thousand metric tons of CO2 equivalent) [EN.ATM.METH.EG.KT.CE],Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.EG.KT.CE],"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]",Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]
2014,New Zealand,NZL,100,1166247311,45173142.73,7.038636112,17.32568103,9012.731097,23.30766579,55.89472474,0,59.84684405,940,260,0.350996258,79.20239053,30.82069969,81740
2014,Norway,NOR,100,1612706181,83200638.42,7.451483601,8.420305643,22999.9346,1.752510161,95.90302069,0,57.97823335,1470,200,2.245509395,97.65553085,56.92070007,48310
2014,Panama,PAN,91.42875671,373776648.6,47061494.37,2.891335759,8.289760638,2064.177914,1.593625498,54.20480241,0,80.71266196,530,120,90.52608058,55.79842791,19.78339958,18630
2014,Nigeria,NGA,54.42453384,4379072938,14879893037,0.658711745,0.104140275,144.5254385,0,17.59131293,0,18.87676676,67980,4190,100,17.59131293,80.65769958,281650
2014,Peru,PER,92.919989,1727344182,446974441,1.755046431,5.777208862,1345.879007,3.820583475,48.54787211,0,79.55568357,3070,190,99.99952668,52.36845558,28.56889915,93240
2014,Poland,POL,100,9622188166,920973500.9,7.517152269,66.98236089,3971.799761,11.14139349,1.377217554,0,90.0879643,22120,2390,99.98156642,12.51861105,11.57610035,362360
2014,Portugal,PRT,100,1502757355,120447380.5,4.415895223,22.13133899,4662.6008,30.77618892,29.96401008,0,72.8127263,400,490,25.18319789,60.740199,30.45890045,63320
2014,Russian Federation,RUS,100,58451806842,3892956822,11.17274176,25.19496415,6602.657479,0.069940405,16.49831079,17.0150979,92.14287582,667610,5090,93.32059119,16.5682512,3.296099901,2521740
2014,Senegal,SEN,61,315532152.7,331349906.4,0.604596628,13.22173862,229.3516495,1.776581427,8.64064603,0,53.90911721,610,2610,100,10.41722746,43.35440063,27140
2014,Spain,ESP,100,7873619294,580097320.8,5.18406686,18.03672145,5355.987006,25.85934119,14.2459147,20.84204707,71.53112185,3130,2110,47.71914768,40.10525588,17.37479973,314950
2014,Sweden,SWE,100,1463269561,74745164.39,4.03254501,20.47330179,13480.14822,14.31222892,41.52545684,42.25028329,29.77474727,450,620,3.676452145,55.83768577,49.54309845,50120
2014,Switzerland,CHE,100,1200675732,363338357.1,4.851838197,1.375240373,7520.166025,3.7573821,54.25808108,39.30986277,48.74185988,290,250,78.49918639,58.01546318,22.21179962,48470
2014,Tanzania,TZA,23.5,389078168.7,624531663.5,0.214569239,6.08886194,103.681778,0.643190224,41.64656697,0,14.38061695,20800,4050,100,42.2897572,84.26540375,97650
2014,United Arab Emirates,ARE,100,7610038270,518138702.7,19.95185248,4.071119996,11088.34186,0.258307016,0,0,86.12834902,29600,5510,100,0.258307016,0.137700006,240020
2014,United States,USA,100,1.76E+11,13965637785,16.02637907,32.34290004,12993.96558,6.900028617,6.053798474,19.2302385,83.08904242,299630,39980,11.73129721,12.95382709,9.220499992,6129040
2014,United Kingdom,GBR,100,14124907258,1534324428,6.421598191,27.60260552,5130.390253,17.50528642,1.757567262,19.01262478,82.7165785,8380,3660,72.0666772,19.26285368,7.3604002,513800
